0	51845	0.9026	0.0000	0.0000	0.0000	0
1	51842	0.9026	0.0000	0.0000	0.0000	0
2	51843	0.9026	0.0000	0.0000	0.0000	0
3	51846	0.9026	0.0000	0.0000	0.0000	0
4	51833	0.9026	0.0400	0.2000	0.1312	1
5	51841	0.9026	0.0611	0.1667	0.1171	0
6	51832	0.9026	0.0932	0.2857	0.1980	1
7	51844	0.9026	0.1128	0.2500	0.1822	0
8	6805	0.7536	0.1373	0.3333	0.2400	1
9	6854	0.7536	0.1536	0.3000	0.2248	0
10	6806	0.7536	0.1727	0.3636	0.2696	1
11	6807	0.7536	0.1930	0.4167	0.3084	1
12	153818	0.7339	0.2077	0.3846	0.2932	0
13	153722	0.7339	0.2235	0.4286	0.3255	1
14	153819	0.7339	0.2353	0.4000	0.3116	0
15	153820	0.7339	0.2440	0.3750	0.2991	0
16	153817	0.7339	0.2504	0.3529	0.2878	0
17	146706	0.6696	0.2550	0.3333	0.2775	0
18	146692	0.6696	0.2610	0.3684	0.3020	1
19	146705	0.6696	0.2654	0.3500	0.2923	0
20	146707	0.6696	0.2687	0.3333	0.2833	0
21	146693	0.6696	0.2730	0.3636	0.3044	1
22	146691	0.6696	0.2781	0.3913	0.3241	1
23	146694	0.6696	0.2839	0.4167	0.3425	1
24	66831	0.6626	0.2902	0.4400	0.3597	1
25	66900	0.6626	0.2953	0.4231	0.3506	0
26	66899	0.6626	0.2994	0.4074	0.3421	0
27	66832	0.6626	0.3040	0.4286	0.3576	1
28	66833	0.6626	0.3090	0.4483	0.3722	1
29	109722	0.6595	0.3132	0.4333	0.3640	0
30	109578	0.6595	0.3176	0.4516	0.3776	1
31	109577	0.6595	0.3223	0.4688	0.3905	1
32	109721	0.6595	0.3263	0.4545	0.3826	0
33	42420	0.6566	0.3306	0.4706	0.3947	1
34	42633	0.6566	0.3342	0.4571	0.3872	0
35	42421	0.6566	0.3380	0.4722	0.3986	1
36	110251	0.6477	0.3413	0.4595	0.3913	0
37	110252	0.6477	0.3441	0.4474	0.3844	0
38	110259	0.6477	0.3465	0.4359	0.3778	0
39	149450	0.6435	0.3491	0.4500	0.3883	1
40	149434	0.6435	0.3518	0.4634	0.3983	1
41	149448	0.6435	0.3548	0.4762	0.4080	1
42	149449	0.6435	0.3579	0.4884	0.4173	1
43	149523	0.6435	0.3606	0.4773	0.4109	0
44	132594	0.6432	0.3630	0.4667	0.4047	0
45	132595	0.6432	0.3650	0.4565	0.3987	0
46	132593	0.6432	0.3668	0.4468	0.3930	0
47	48106	0.6424	0.3687	0.4583	0.4016	1
48	48246	0.6424	0.3703	0.4490	0.3960	0
49	48096	0.6424	0.3721	0.4600	0.4042	1
50	48107	0.6424	0.3740	0.4706	0.4122	1
51	48097	0.6424	0.3761	0.4808	0.4200	1
52	48245	0.6424	0.3779	0.4717	0.4145	0
53	57979	0.6361	0.3798	0.4815	0.4220	1
54	57977	0.6361	0.3818	0.4909	0.4292	1
55	57978	0.6361	0.3839	0.5000	0.4362	1
56	132590	0.6317	0.3858	0.4912	0.4310	0
57	132588	0.6317	0.3875	0.4828	0.4258	0
58	132591	0.6317	0.3890	0.4746	0.4208	0
59	132589	0.6317	0.3903	0.4667	0.4160	0
60	75007	0.6304	0.3917	0.4754	0.4226	1
61	75006	0.6304	0.3931	0.4839	0.4291	1
62	75044	0.6304	0.3945	0.4762	0.4244	0
63	75005	0.6304	0.3959	0.4844	0.4306	1
64	46421	0.6265	0.3973	0.4923	0.4367	1
65	66589	0.6265	0.3987	0.4848	0.4321	0
66	66542	0.6265	0.4001	0.4925	0.4380	1
67	66543	0.6265	0.4015	0.5000	0.4438	1
68	66539	0.6265	0.4031	0.5072	0.4494	1
69	66544	0.6265	0.4047	0.5143	0.4549	1
70	66541	0.6265	0.4063	0.5211	0.4603	1
71	6224	0.6251	0.4078	0.5139	0.4558	0
72	6123	0.6251	0.4093	0.5205	0.4610	1
73	6225	0.6251	0.4107	0.5135	0.4567	0
74	6226	0.6251	0.4120	0.5067	0.4524	0
